metric,bin_idx,d_bin_left,d_bin_right,d_bin_center,n,mean,std
sentiment_shift,0,0.0,0.1008343449436135,0.05041717247180675,371,0.05429087511095596,0.1387751332063129
sentiment_shift,1,0.1015729024901752,0.202002766642573,0.1517878345663741,292,0.16350405469332652,0.21881413749986067
sentiment_shift,2,0.2026791664531077,0.3033532171104968,0.25301619178180224,710,0.1644521928549757,0.19899270351428017
sentiment_shift,3,0.3036198223849411,0.4047979244311229,0.354208873408032,903,0.1461880044495441,0.1985310140026664
sentiment_shift,4,0.4049536182908183,0.505714401260421,0.45533400977561966,1110,0.170792859455,0.20732940337910682
sentiment_shift,5,0.5062163810479958,0.606844627451755,0.5565305042498754,642,0.17827665628836345,0.17310469061069603
sentiment_shift,6,0.6117309407759354,0.7041023688888955,0.6579166548324155,226,0.2178309989054646,0.29502934035325695
sentiment_shift,7,0.7092488292210201,0.8096088931664213,0.7594288611937207,366,0.17069877923562957,0.22420499168815905
kendall_tau,0,0.0,0.1008343449436135,0.05041717247180675,371,0.9650526394473209,0.08506553391591928
kendall_tau,1,0.1015729024901752,0.202002766642573,0.1517878345663741,292,0.9035526469887039,0.11672706035768236
kendall_tau,2,0.2026791664531077,0.3033532171104968,0.25301619178180224,710,0.9320277769470081,0.10798959876329134
kendall_tau,3,0.3036198223849411,0.4047979244311229,0.354208873408032,903,0.9046466925467201,0.11852363794333844
kendall_tau,4,0.4049536182908183,0.505714401260421,0.45533400977561966,1110,0.8943677456002646,0.12027967706960954
kendall_tau,5,0.5062163810479958,0.606844627451755,0.5565305042498754,642,0.8825457425640908,0.11578352846639887
kendall_tau,6,0.6117309407759354,0.7041023688888955,0.6579166548324155,226,0.8509628630883027,0.13344653269094187
kendall_tau,7,0.7092488292210201,0.8096088931664213,0.7594288611937207,366,0.911872230014637,0.09857952214690971
